"station_id","year","season","n_rain","R5mm","R10mm","R20mm","SDII","PRCPTOT","Rx1day","Rx5day","n_maxdy","n_mindy","FD","TR","SU","ID","TNn","TNx","TXn","TXx","DTR","TN10p","TN90p","TX10p","TX90p"
"BELMULLET",1957,"Summer",92,14,6,1,5.487,214,26.2,54.6,92,92,0,0,4,0,3.8,15.6,12.7,28.3,6.318,10.87,21.739,8.696,18.478
"BELMULLET",1957,"Autumn",91,20,3,2,4.695,262.9,23,40.4,91,91,1,0,0,0,-0.2,13.6,6.8,19.1,4.622,6.593,13.187,9.89,6.593
"BELMULLET",1958,"Winter",90,29,10,4,6.853,376.9,34.6,56.2,90,90,11,0,0,0,-4.8,9.7,1.7,13.1,4.772,8.889,14.444,8.889,10
"BELMULLET",1958,"Spring",92,18,5,0,5.323,228.9,20,43.1,92,92,7,0,0,0,-2.6,10.6,3.6,20.2,5.893,17.391,11.957,20.652,6.522
"BELMULLET",1958,"Summer",92,23,11,0,6.81,326.9,19.9,53.7,92,92,0,0,0,0,6.2,15.4,13.2,21.7,5.541,8.696,9.783,3.261,5.435
"BELMULLET",1958,"Autumn",91,18,7,1,6.018,270.8,25.6,49.9,91,91,0,0,0,0,0.1,14.6,7.7,21.1,4.905,3.297,18.681,0,17.582
"BELMULLET",1959,"Winter",90,16,7,0,4.761,242.8,17.1,50.4,90,90,17,0,0,0,-4.2,8.9,1.8,12.6,5.454,14.444,12.222,5.556,14.444
"BELMULLET",1959,"Spring",92,18,5,0,5.195,207.8,12.6,32.4,92,92,0,0,0,0,1,12.6,6.6,23.3,6.516,6.522,18.478,2.174,22.826
"BELMULLET",1959,"Summer",92,14,3,0,5.203,187.3,14.6,30.8,92,92,0,0,0,0,5.8,15.8,13.5,22.3,5.655,3.261,19.565,3.261,15.217
"BELMULLET",1959,"Autumn",91,24,11,2,7.018,343.9,41.3,52.9,91,91,0,0,0,0,1.7,15,5.8,23.2,5.558,5.495,20.879,4.396,32.967
"BELMULLET",1960,"Winter",91,31,11,0,6.094,390,19.8,53.5,91,91,12,0,0,0,-3.8,9.4,3.9,12.6,5.543,6.593,5.495,3.297,7.692
"BELMULLET",1960,"Spring",92,14,5,0,5.476,180.7,16.5,34.7,92,92,1,0,0,0,-0.9,11.8,4.9,19,6.391,7.609,25,3.261,20.652
"BELMULLET",1960,"Summer",92,18,8,2,6.216,273.5,28.6,59.3,92,92,0,0,0,0,5.2,15.4,14.6,23.3,5.91,8.696,15.217,2.174,5.435
